symbol,date,price
IAU,2022/02/01,34.27
ICLN,2022/02/01,18.592
IEAA.L,2022/02/01,5.266
IEF,2022/02/01,110.568
IEFM.L,2022/02/01,780.8
IEMG,2022/02/01,59.234
IEUS,2022/02/01,64.279
IEVL.L,2022/02/01,7.599
IGF,2022/02/01,46.855
INDA,2022/02/01,45.89
IUMO.L,2022/02/01,11.362
IUVL.L,2022/02/01,9.265
IVV,2022/02/01,449.656
IWM,2022/02/01,201.386
IXN,2022/02/01,59.514
JPEA.L,2022/02/01,5.764
JPM,2022/02/01,147.404
KR,2022/02/01,43.284
LQD,2022/02/01,124.42
MCHI,2022/02/01,62.638
META,2022/02/01,319
MVEU.L,2022/02/01,54.08
OGN,2022/02/01,31.817
PG,2022/02/01,156.711
PPL,2022/02/01,28.818
PRU,2022/02/01,108.645
PYPL,2022/02/01,175.8
RE,2022/02/01,278.095
REET,2022/02/01,27.879
ROL,2022/02/01,30.66
ROST,2022/02/01,97.481
SEGA.L,2022/02/01,107.168
SHY,2022/02/01,84.043
SLV,2022/02/01,20.94
SPMV.L,2022/02/01,79.605
TLT,2022/02/01,138.989
UNH,2022/02/01,462.487
URI,2022/02/01,330.01
V,2022/02/01,230.595
VRSK,2022/02/01,195.533
VXX,2022/02/01,19.84
WRK,2022/02/01,45.222
XLB,2022/02/01,84.301
XLC,2022/02/01,74.067
XLE,2022/02/01,66.18
XLF,2022/02/01,39.035
XLI,2022/02/01,100.87
XLK,2022/02/01,161.282
XLP,2022/02/01,74.521
XLU,2022/02/01,66.89
XLV,2022/02/01,130.113
XLY,2022/02/01,184.98
XOM,2022/02/01,77.726
ABBV,2022/02/02,134.806
ACN,2022/02/02,355.551
AEP,2022/02/02,86.901
AIZ,2022/02/02,150.323
ALLE,2022/02/02,118.741
AMAT,2022/02/02,139.467
AMP,2022/02/02,307.969
AMZN,2022/02/02,150.612
AVB,2022/02/02,245.947
AVY,2022/02/02,198.243
AXP,2022/02/02,182.258
BDX,2022/02/02,247.911
BF-B,2022/02/02,67.635
BMY,2022/02/02,63.399
BR,2022/02/02,152.232
CARR,2022/02/02,46.94
CDW,2022/02/02,192.296
CE,2022/02/02,155.3
CHTR,2022/02/02,600.24
CNC,2022/02/02,78.82
CNP,2022/02/02,27.663
COP,2022/02/02,88.417
CTAS,2022/02/02,387.402
CZR,2022/02/02,77.5
DG,2022/02/02,205.254
DPZ,2022/02/02,447.94
DRE,2022/02/02,57.968
DXC,2022/02/02,30.69
EWA,2022/02/02,22.572
EWC,2022/02/02,38.559
EWG,2022/02/02,31.417
EWH,2022/02/02,23.507
EWJ,2022/02/02,64.454
EWL,2022/02/02,49.05
EWQ,2022/02/02,37.502
EWT,2022/02/02,65.39
EWU,2022/02/02,33.98
EWY,2022/02/02,73.5
EWZ,2022/02/02,30.512
FTV,2022/02/02,71.301
GOOG,2022/02/02,148.036
GPC,2022/02/02,132.621
GSG,2022/02/02,19.32
HIG,2022/02/02,71.505
HIGH.L,2022/02/02,5.449
HST,2022/02/02,16.966
HYG,2022/02/02,81.388
IAU,2022/02/02,34.38
ICLN,2022/02/02,18.513
IEAA.L,2022/02/02,5.26
IEF,2022/02/02,110.794
IEFM.L,2022/02/02,789.8
IEMG,2022/02/02,59.175
IEUS,2022/02/02,64.909
IEVL.L,2022/02/02,7.614
IGF,2022/02/02,47.19
INDA,2022/02/02,46.16
IUMO.L,2022/02/02,11.445
IUVL.L,2022/02/02,9.298
IVV,2022/02/02,453.976
IWM,2022/02/02,199.385
IXN,2022/02/02,59.952
JPEA.L,2022/02/02,5.805
JPM,2022/02/02,146.224
KR,2022/02/02,43.254
LQD,2022/02/02,124.429
MCHI,2022/02/02,62.101
META,2022/02/02,323
MVEU.L,2022/02/02,54.375
OGN,2022/02/02,32.145
PG,2022/02/02,159.517
PPL,2022/02/02,29.004
PRU,2022/02/02,109.725
PYPL,2022/02/02,132.57
RE,2022/02/02,283.647
REET,2022/02/02,28.182
ROL,2022/02/02,31.085
ROST,2022/02/02,96.284
SEGA.L,2022/02/02,107.258
SHY,2022/02/02,84.063
SLV,2022/02/02,20.93
SPMV.L,2022/02/02,80.895
TLT,2022/02/02,139.46
UNH,2022/02/02,473.713
URI,2022/02/02,326.22
V,2022/02/02,233.631
VRSK,2022/02/02,199.054
VXX,2022/02/02,19.42
WRK,2022/02/02,44.773
XLB,2022/02/02,84.567
XLC,2022/02/02,75.546
XLE,2022/02/02,66.394
XLF,2022/02/02,39.301
XLI,2022/02/02,101.571
XLK,2022/02/02,162.593
XLP,2022/02/02,75.414
XLU,2022/02/02,67.879
XLV,2022/02/02,131.863
XLY,2022/02/02,183.876
XOM,2022/02/02,77.524
ABBV,2022/02/03,136.858
ACN,2022/02/03,341.783
AEP,2022/02/03,87.2
AIZ,2022/02/03,149.154
ALLE,2022/02/03,114.72
AMAT,2022/02/03,135.256
AMP,2022/02/03,299.159
AMZN,2022/02/03,138.846
AVB,2022/02/03,244.559
AVY,2022/02/03,190.766
AXP,2022/02/03,182.14
BDX,2022/02/03,261.346
BF-B,2022/02/03,67.298
BMY,2022/02/03,62.685
BR,2022/02/03,146.401
CARR,2022/02/03,45.685
CDW,2022/02/03,190.685
CE,2022/02/03,156.297
CHTR,2022/02/03,610.45
CNC,2022/02/03,81.53
CNP,2022/02/03,27.497
COP,2022/02/03,87.132
CTAS,2022/02/03,381.098
CZR,2022/02/03,76.36
DG,2022/02/03,203.943
DPZ,2022/02/03,439.862
DRE,2022/02/03,57.909
DXC,2022/02/03,34.91
EWA,2022/02/03,22.32
EWC,2022/02/03,37.904
EWG,2022/02/03,31.135
EWH,2022/02/03,23.398
EWJ,2022/02/03,63.107
EWL,2022/02/03,48.02
EWQ,2022/02/03,37.055
EWT,2022/02/03,64.59
EWU,2022/02/03,33.636
EWY,2022/02/03,71.98
EWZ,2022/02/03,30.273
FTV,2022/02/03,65.756
GOOG,2022/02/03,142.65
GPC,2022/02/03,130.189
GSG,2022/02/03,19.4
HIG,2022/02/03,70.595
HIGH.L,2022/02/03,5.413
HST,2022/02/03,16.868
HYG,2022/02/03,80.659
IAU,2022/02/03,34.36
ICLN,2022/02/03,18.046
IEAA.L,2022/02/03,5.216
IEF,2022/02/03,110.322
IEFM.L,2022/02/03,778.95
IEMG,2022/02/03,58.542
IEUS,2022/02/03,63.768
IEVL.L,2022/02/03,7.552
IGF,2022/02/03,46.973
INDA,2022/02/03,45.53
IUMO.L,2022/02/03,11.405
IUVL.L,2022/02/03,9.35
IVV,2022/02/03,443.439
IWM,2022/02/03,195.612
IXN,2022/02/03,58.158
JPEA.L,2022/02/03,5.769
JPM,2022/02/03,145.014
KR,2022/02/03,44.245
LQD,2022/02/03,123.426
MCHI,2022/02/03,61.683
META,2022/02/03,237.76
MVEU.L,2022/02/03,53.36
OGN,2022/02/03,31.75
PG,2022/02/03,161.028
PPL,2022/02/03,28.975
PRU,2022/02/03,108.378
PYPL,2022/02/03,124.3
RE,2022/02/03,278.789
REET,2022/02/03,27.86
ROL,2022/02/03,30.354
ROST,2022/02/03,93.366
SEGA.L,2022/02/03,107.078
SHY,2022/02/03,83.993
SLV,2022/02/03,20.71
SPMV.L,2022/02/03,80.675
TLT,2022/02/03,138.371
UNH,2022/02/03,482.59
URI,2022/02/03,324.43
V,2022/02/03,229.781
VRSK,2022/02/03,195.901
VXX,2022/02/03,21.78
WRK,2022/02/03,45.036
XLB,2022/02/03,83.092
XLC,2022/02/03,70.492
XLE,2022/02/03,65.764
XLF,2022/02/03,38.867
XLI,2022/02/03,99.951
XLK,2022/02/03,157.876
XLP,2022/02/03,75.434
XLU,2022/02/03,67.575
XLV,2022/02/03,131.299
XLY,2022/02/03,178.249
XOM,2022/02/03,76.62
ABBV,2022/02/04,136.78
ACN,2022/02/04,343.712
AEP,2022/02/04,86.214
AIZ,2022/02/04,150.401
ALLE,2022/02/04,117.822
AMAT,2022/02/04,134.324
AMP,2022/02/04,302.944
AMZN,2022/02/04,157.64
AVB,2022/02/04,241.715
AVY,2022/02/04,186.992
AXP,2022/02/04,183.931
BDX,2022/02/04,259.675
BF-B,2022/02/04,66.418
BMY,2022/02/04,63.585
BR,2022/02/04,147.871
CARR,2022/02/04,45.29
CDW,2022/02/04,190.023
CE,2022/02/04,153.012
CHTR,2022/02/04,608.92
CNC,2022/02/04,80.57
CNP,2022/02/04,27.243
COP,2022/02/04,88.091
CTAS,2022/02/04,377.862
CZR,2022/02/04,78.83
DG,2022/02/04,200.954
DPZ,2022/02/04,434.193
DRE,2022/02/04,56.806
DXC,2022/02/04,36.03
EWA,2022/02/04,22.407
EWC,2022/02/04,38.112
EWG,2022/02/04,31.048
EWH,2022/02/04,23.714
EWJ,2022/02/04,63.602
EWL,2022/02/04,47.912
EWQ,2022/02/04,37.152
EWT,2022/02/04,64.48
EWU,2022/02/04,33.547
EWY,2022/02/04,72.72
EWZ,2022/02/04,30.263
FTV,2022/02/04,64.103
GOOG,2022/02/04,143.016
GPC,2022/02/04,127.306
GSG,2022/02/04,19.67
HIG,2022/02/04,68.962
HIGH.L,2022/02/04,5.365
HST,2022/02/04,17.243
HYG,2022/02/04,80.342
IAU,2022/02/04,34.39
ICLN,2022/02/04,18.215
IEAA.L,2022/02/04,5.173
IEF,2022/02/04,109.475
IEFM.L,2022/02/04,772.6
IEMG,2022/02/04,58.72
IEUS,2022/02/04,63.411
IEVL.L,2022/02/04,7.468
IGF,2022/02/04,46.815
INDA,2022/02/04,45.38
IUMO.L,2022/02/04,11.305
IUVL.L,2022/02/04,9.162
IVV,2022/02/04,445.663
IWM,2022/02/04,196.454
IXN,2022/02/04,58.437
JPEA.L,2022/02/04,5.735
JPM,2022/02/04,148.779
KR,2022/02/04,43.911
LQD,2022/02/04,122.199
MCHI,2022/02/04,62.051
META,2022/02/04,237.09
MVEU.L,2022/02/04,52.64
OGN,2022/02/04,31.943
PG,2022/02/04,158.467
PPL,2022/02/04,28.711
PRU,2022/02/04,113.109
PYPL,2022/02/04,126.08
RE,2022/02/04,279.522
REET,2022/02/04,27.635
ROL,2022/02/04,30.087
ROST,2022/02/04,93.148
SEGA.L,2022/02/04,107.158
SHY,2022/02/04,83.825
SLV,2022/02/04,20.79
SPMV.L,2022/02/04,80.02
TLT,2022/02/04,136.331
UNH,2022/02/04,477.06
URI,2022/02/04,312.29
V,2022/02/04,226.655
VRSK,2022/02/04,196.707
VXX,2022/02/04,21
WRK,2022/02/04,44.294
XLB,2022/02/04,81.716
XLC,2022/02/04,70.671
XLE,2022/02/04,66.791
XLF,2022/02/04,39.528
XLI,2022/02/04,98.875
XLK,2022/02/04,158.511
XLP,2022/02/04,74.511
XLU,2022/02/04,67.037
XLV,2022/02/04,130.824
XLY,2022/02/04,183.319
XOM,2022/02/04,78.284
ABBV,2022/02/07,138.609
ACN,2022/02/07,340.21
AEP,2022/02/07,86.833
AIZ,2022/02/07,150.077
ALLE,2022/02/07,119.018
AMAT,2022/02/07,134.879
AMP,2022/02/07,306.691
AMZN,2022/02/07,157.936
AVB,2022/02/07,238.851
AVY,2022/02/07,179.248
AXP,2022/02/07,185.93
BDX,2022/02/07,260.081
BF-B,2022/02/07,66.448
BMY,2022/02/07,64.759
BR,2022/02/07,145.888
CARR,2022/02/07,45.171
CDW,2022/02/07,189.045
CE,2022/02/07,151.634
CHTR,2022/02/07,610.75
CNC,2022/02/07,80.79
CNP,2022/02/07,27.429
COP,2022/02/07,89.117
CTAS,2022/02/07,375.942
CZR,2022/02/07,80.75
DG,2022/02/07,199.196
DPZ,2022/02/07,430.516
DRE,2022/02/07,56.442
DXC,2022/02/07,37.33
EWA,2022/02/07,22.592
EWC,2022/02/07,38.281
EWG,2022/02/07,31.048
EWH,2022/02/07,23.773
EWJ,2022/02/07,63.642
EWL,2022/02/07,47.912
EWQ,2022/02/07,37.201
EWT,2022/02/07,64.76
EWU,2022/02/07,33.734
EWY,2022/02/07,72.96
EWZ,2022/02/07,30.617
FTV,2022/02/07,63.596
GOOG,2022/02/07,138.938
GPC,2022/02/07,125.727
GSG,2022/02/07,19.63
HIG,2022/02/07,68.679
HIGH.L,2022/02/07,5.332
HST,2022/02/07,17.618
HYG,2022/02/07,80.285
IAU,2022/02/07,34.66
ICLN,2022/02/07,18.106
IEAA.L,2022/02/07,5.154
IEF,2022/02/07,109.505
IEFM.L,2022/02/07,778.9
IEMG,2022/02/07,58.671
IEUS,2022/02/07,62.96
IEVL.L,2022/02/07,7.509
IGF,2022/02/07,46.795
INDA,2022/02/07,44.93
IUMO.L,2022/02/07,11.44
IUVL.L,2022/02/07,9.232
IVV,2022/02/07,444.081
IWM,2022/02/07,197.424
IXN,2022/02/07,58.009
JPEA.L,2022/02/07,5.728
JPM,2022/02/07,149.276
KR,2022/02/07,43.813
LQD,2022/02/07,122.423
MCHI,2022/02/07,61.624
META,2022/02/07,224.91
MVEU.L,2022/02/07,52.76
OGN,2022/02/07,32.329
PG,2022/02/07,157.28
PPL,2022/02/07,28.594
PRU,2022/02/07,113.998
PYPL,2022/02/07,121.41
RE,2022/02/07,280.275
REET,2022/02/07,27.508
ROL,2022/02/07,30.127
ROST,2022/02/07,92.347
SEGA.L,2022/02/07,106.818
SHY,2022/02/07,83.845
SLV,2022/02/07,21.27
SPMV.L,2022/02/07,80.11
TLT,2022/02/07,136.419
UNH,2022/02/07,477.584
URI,2022/02/07,315.78
V,2022/02/07,225.434
VRSK,2022/02/07,195.991
VXX,2022/02/07,20.42
WRK,2022/02/07,44.216
XLB,2022/02/07,81.313
XLC,2022/02/07,69.439
XLE,2022/02/07,67.644
XLF,2022/02/07,39.646
XLI,2022/02/07,98.954
XLK,2022/02/07,157.458
XLP,2022/02/07,74.648
XLU,2022/02/07,66.939
XLV,2022/02/07,130.597
XLY,2022/02/07,182.942
XOM,2022/02/07,79.226
ABBV,2022/02/08,139.562
ACN,2022/02/08,341.308
AEP,2022/02/08,87.21
AIZ,2022/02/08,153.32
ALLE,2022/02/08,120.263
AMAT,2022/02/08,137.475
AMP,2022/02/08,310.044
AMZN,2022/02/08,161.414
AVB,2022/02/08,235.059
AVY,2022/02/08,182.083
AXP,2022/02/08,191.997
BDX,2022/02/08,267.055
BF-B,2022/02/08,66.725
BMY,2022/02/08,64.465
BR,2022/02/08,146.806
CARR,2022/02/08,45.507
CDW,2022/02/08,192.454
CE,2022/02/08,154.742
CHTR,2022/02/08,609.12
CNC,2022/02/08,85.67
CNP,2022/02/08,27.536
COP,2022/02/08,87.573
CTAS,2022/02/08,379.584
CZR,2022/02/08,82.36
DG,2022/02/08,201.361
DPZ,2022/02/08,434.847
DRE,2022/02/08,56.225
DXC,2022/02/08,38.82
EWA,2022/02/08,23.018
EWC,2022/02/08,38.479
EWG,2022/02/08,31.164
EWH,2022/02/08,23.98
EWJ,2022/02/08,64.008
EWL,2022/02/08,47.893
EWQ,2022/02/08,37.376
EWT,2022/02/08,65.42
EWU,2022/02/08,33.881
EWY,2022/02/08,73.18
EWZ,2022/02/08,30.674
FTV,2022/02/08,65.278
GOOG,2022/02/08,139.213
GPC,2022/02/08,127.6
GSG,2022/02/08,19.41
HIG,2022/02/08,71.153
HIGH.L,2022/02/08,5.352
HST,2022/02/08,17.944
HYG,2022/02/08,80.198
IAU,2022/02/08,34.73
ICLN,2022/02/08,18.146
IEAA.L,2022/02/08,5.158
IEF,2022/02/08,109.15
IEFM.L,2022/02/08,771.2
IEMG,2022/02/08,59.175
IEUS,2022/02/08,63
IEVL.L,2022/02/08,7.569
IGF,2022/02/08,47.121
INDA,2022/02/08,45.09
IUMO.L,2022/02/08,11.415
IUVL.L,2022/02/08,9.252
IVV,2022/02/08,447.61
IWM,2022/02/08,200.792
IXN,2022/02/08,58.746
JPEA.L,2022/02/08,5.695
JPM,2022/02/08,152.084
KR,2022/02/08,44.627
LQD,2022/02/08,121.965
MCHI,2022/02/08,62.31
META,2022/02/08,220.18
MVEU.L,2022/02/08,52.68
OGN,2022/02/08,32.55
PG,2022/02/08,156.927
PPL,2022/02/08,28.828
PRU,2022/02/08,115.967
PYPL,2022/02/08,120.26
RE,2022/02/08,283.803
REET,2022/02/08,27.39
ROL,2022/02/08,30.048
ROST,2022/02/08,94.454
SEGA.L,2022/02/08,106.028
SHY,2022/02/08,83.756
SLV,2022/02/08,21.45
SPMV.L,2022/02/08,80.16
TLT,2022/02/08,135.507
UNH,2022/02/08,487.171
URI,2022/02/08,323.39
V,2022/02/08,226.208
VRSK,2022/02/08,197.144
VXX,2022/02/08,19.5
WRK,2022/02/08,46.003
XLB,2022/02/08,82.571
XLC,2022/02/08,69.41
XLE,2022/02/08,66.19
XLF,2022/02/08,40.198
XLI,2022/02/08,99.941
XLK,2022/02/08,159.405
XLP,2022/02/08,74.933
XLU,2022/02/08,66.988
XLV,2022/02/08,131.665
XLY,2022/02/08,185.516
XOM,2022/02/08,77.178
ABBV,2022/02/09,139.26
ACN,2022/02/09,351.654
AEP,2022/02/09,87.171
AIZ,2022/02/09,163.656
ALLE,2022/02/09,123.681
AMAT,2022/02/09,142.875
AMP,2022/02/09,313.819
AMZN,2022/02/09,161.19
AVB,2022/02/09,243.132
AVY,2022/02/09,186.518
AXP,2022/02/09,194.372
BDX,2022/02/09,267.779
BF-B,2022/02/09,67.219
BMY,2022/02/09,65.688
BR,2022/02/09,148.838
CARR,2022/02/09,47.404
CDW,2022/02/09,187.711
CE,2022/02/09,157.011
CHTR,2022/02/09,614.75
CNC,2022/02/09,85.95
CNP,2022/02/09,27.595
COP,2022/02/09,89.126
CTAS,2022/02/09,387.521
CZR,2022/02/09,86.87
DG,2022/02/09,204.36
DPZ,2022/02/09,440.824
DRE,2022/02/09,57.653
DXC,2022/02/09,38.63
EWA,2022/02/09,23.387
EWC,2022/02/09,38.996
EWG,2022/02/09,31.669
EWH,2022/02/09,24.206
EWJ,2022/02/09,64.89
EWL,2022/02/09,48.746
EWQ,2022/02/09,38.027
EWT,2022/02/09,66.25
EWU,2022/02/09,34.146
EWY,2022/02/09,74.5
EWZ,2022/02/09,30.779
FTV,2022/02/09,66.184
GOOG,2022/02/09,141.453
GPC,2022/02/09,129.542
GSG,2022/02/09,19.63
HIG,2022/02/09,71.407
HIGH.L,2022/02/09,5.378
HST,2022/02/09,18.22
HYG,2022/02/09,80.62
IAU,2022/02/09,34.87
ICLN,2022/02/09,18.801
IEAA.L,2022/02/09,5.173
IEF,2022/02/09,109.298
IEFM.L,2022/02/09,791.45
IEMG,2022/02/09,60.084
IEUS,2022/02/09,64.586
IEVL.L,2022/02/09,7.688
IGF,2022/02/09,47.801
INDA,2022/02/09,45.68
IUMO.L,2022/02/09,11.705
IUVL.L,2022/02/09,9.408
IVV,2022/02/09,454.214
IWM,2022/02/09,204.604
IXN,2022/02/09,60.022
JPEA.L,2022/02/09,5.734
JPM,2022/02/09,152.718
KR,2022/02/09,44.284
LQD,2022/02/09,122.374
MCHI,2022/02/09,63.682
META,2022/02/09,232
MVEU.L,2022/02/09,53.19
OGN,2022/02/09,33.36
PG,2022/02/09,156.574
PPL,2022/02/09,28.828
PRU,2022/02/09,115.833
PYPL,2022/02/09,122.94
RE,2022/02/09,282.581
REET,2022/02/09,27.957
ROL,2022/02/09,31.079
ROST,2022/02/09,96.373
SEGA.L,2022/02/09,106.608
SHY,2022/02/09,83.746
SLV,2022/02/09,21.53
SPMV.L,2022/02/09,81.13
TLT,2022/02/09,135.762
UNH,2022/02/09,491.802
URI,2022/02/09,334.19
V,2022/02/09,229.116
VRSK,2022/02/09,198.01
VXX,2022/02/09,18.71
WRK,2022/02/09,46.276
XLB,2022/02/09,84.37
XLC,2022/02/09,71.366
XLE,2022/02/09,66.743
XLF,2022/02/09,40.454
XLI,2022/02/09,101.314
XLK,2022/02/09,162.941
XLP,2022/02/09,74.953
XLU,2022/02/09,67.282
XLV,2022/02/09,132.684
XLY,2022/02/09,187.972
XOM,2022/02/09,76.809
ABBV,2022/02/10,138.784
ACN,2022/02/10,338.658
AEP,2022/02/10,85.23
AIZ,2022/02/10,159.736
ALLE,2022/02/10,119.245
AMAT,2022/02/10,138.486
AMP,2022/02/10,311.718
AMZN,2022/02/10,159.004
AVB,2022/02/10,236.535
AVY,2022/02/10,184.454
AXP,2022/02/10,193.491
BDX,2022/02/10,262.66
BF-B,2022/02/10,66.547
BMY,2022/02/10,65.072
BR,2022/02/10,144.487
CARR,2022/02/10,46.584
CDW,2022/02/10,181.199
CE,2022/02/10,156.444
CHTR,2022/02/10,606.52
CNC,2022/02/10,84.15
CNP,2022/02/10,26.979
COP,2022/02/10,88.129
CTAS,2022/02/10,377.704
CZR,2022/02/10,86.49
DG,2022/02/10,200.696
DPZ,2022/02/10,434.698
DRE,2022/02/10,55.102
DXC,2022/02/10,37.81
EWA,2022/02/10,23.173
EWC,2022/02/10,38.638
EWG,2022/02/10,31.31
EWH,2022/02/10,24.108
EWJ,2022/02/10,63.86
EWL,2022/02/10,48.03
EWQ,2022/02/10,37.454
EWT,2022/02/10,65.95
EWU,2022/02/10,34.009
EWY,2022/02/10,73.64
EWZ,2022/02/10,30.98
FTV,2022/02/10,65.467
GOOG,2022/02/10,138.602
GPC,2022/02/10,124.923
GSG,2022/02/10,19.5
HIG,2022/02/10,71.348
HIGH.L,2022/02/10,5.366
HST,2022/02/10,18.309
HYG,2022/02/10,79.556
IAU,2022/02/10,34.73
ICLN,2022/02/10,18.324
IEAA.L,2022/02/10,5.153
IEF,2022/02/10,108.294
IEFM.L,2022/02/10,786.6
IEMG,2022/02/10,59.659
IEUS,2022/02/10,63.695
IEVL.L,2022/02/10,7.706
IGF,2022/02/10,47.298
INDA,2022/02/10,45.06
IUMO.L,2022/02/10,11.745
IUVL.L,2022/02/10,9.432
IVV,2022/02/10,446.187
IWM,2022/02/10,201.465
IXN,2022/02/10,58.527
JPEA.L,2022/02/10,5.699
JPM,2022/02/10,152.084
KR,2022/02/10,44.304
LQD,2022/02/10,120.708
MCHI,2022/02/10,63.145
META,2022/02/10,228.07
MVEU.L,2022/02/10,53.025
OGN,2022/02/10,33.226
PG,2022/02/10,154.19
PPL,2022/02/10,28.116
PRU,2022/02/10,116.014
PYPL,2022/02/10,119.02
RE,2022/02/10,284.849
REET,2022/02/10,27.537
ROL,2022/02/10,30.662
ROST,2022/02/10,95.532
SEGA.L,2022/02/10,105.768
SHY,2022/02/10,83.32
SLV,2022/02/10,21.42
SPMV.L,2022/02/10,80.33
TLT,2022/02/10,133.605
UNH,2022/02/10,480.566
URI,2022/02/10,325.68
V,2022/02/10,224.24
VRSK,2022/02/10,193.663
VXX,2022/02/10,20.46
WRK,2022/02/10,45.805
XLB,2022/02/10,83.879
XLC,2022/02/10,70.343
XLE,2022/02/10,66.326
XLF,2022/02/10,40.1
XLI,2022/02/10,99.655
XLK,2022/02/10,158.68
XLP,2022/02/10,74.148
XLU,2022/02/10,65.578
XLV,2022/02/10,130.607
XLY,2022/02/10,184.731
XOM,2022/02/10,76.07
ABBV,2022/02/11,138.103
ACN,2022/02/11,325.592
AEP,2022/02/11,85.484
AIZ,2022/02/11,159.107
ALLE,2022/02/11,117.447
AMAT,2022/02/11,131.273
AMP,2022/02/11,299.975
AMZN,2022/02/11,153.294
AVB,2022/02/11,235.235
AVY,2022/02/11,181.244
AXP,2022/02/11,189.829
